953	The user id is: 953
11	187.0
480	187.0
104	186.0
123	186.0
186	185.5
146	184.5
391	182.5
73	182.0
409	181.0
356	181.0
300	180.0
213	179.5
142	179.5
413	177.0
375	176.0
335	175.5
346	174.5
294	173.5
410	173.0
76	172.5
218	168.5
322	163.5
175	160.0
466	158.5

